"canonicalName","entityType","variants","earliestYear","latestYear","localCd","localNote","familySearch","comparisonStatus","filmAndCallNumbers","relatedBranches","relationshipNotes","notes","sourceUrls","nameSources","leadershipOfficers"
"Bryntroedgam","Branch","Bryn","1847","1860","true","false","false","Verified local source collection","CD 13; LR 129 7; 44 authoritative full-resolution images; source heading Bryn Branch / Canghen y Bryn","","","","","[]",""
"Cardiff","Branch","Cardiff Branch","1846","1947","true","true","true","Matched: FamilySearch and local CD","CD 21; LR 1416 7; Wales2Utah research note; Film 104168 Items 1-6","","","","https://www.familysearch.org/search/catalog/results?query=film_number%3A104168","[]",""
"Carmarthen","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 260; Carmarthen named among branches assigned to the Carmarthen Conference","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Carmarthen"",""collectionTitle"":""Zion's Trumpet, 1852"",""collectionBranch"":""Carmarthen"",""evidenceType"":""Conference organization/branch list"",""note"":""PDF page 260; Carmarthen named among branches assigned to the Carmarthen Conference""}]",""
"Castell Nedd (Neath)","Branch","Castell Nedd; Castellned; Neath","1849","1884","true","true","false","Verified local source collection","CD 2; project LR 196 7; photographed source/library identifier 1544 preserved separately; 112 authoritative full-resolution images; source dates 1849-1884","","","","","[{""sourceName"":""Castell Nedd"",""collectionTitle"":""Castell Nedd Branch Record of Members, 1849-1884"",""filename"":""1544__M_00002.jpg"",""viewerSequence"":2,""collectionBranch"":""Castell Nedd (Neath)"",""lrContext"":""Project/CD reference LR 196 7; photographed source/library identifier 1544."",""note"":""The library label uses Castell Nedd and dates the Record of Members 1849-1884. The volume contains an original register, an independent rebaptism/renewal register, a later independently numbered register, and Welsh historical narrative.""},{""sourceName"":""Castellned"",""collectionTitle"":""Castellned Branch Record of Members, 1849-1883"",""filename"":""1544__M_00001.jpg"",""viewerSequence"":1,""collectionBranch"":""Castell Nedd (Neath)"",""lrContext"":""Project/CD reference LR 196 7; photographed source/library identifier 1544."",""note"":""The cover uses the compact historical spelling Castellned and dates the volume 1849-1883; the adjacent library label uses Castell Nedd and extends the catalog coverage through 1884.""}]",""
"Cefn Coed-y-Cymmer","Branch","Cefncoed-y-Cymar; Cefncoedycymer","1847","1864","true","true","true","Verified local source collection","CD 12; LR 176 7; 109 authoritative full-resolution images; source forms Cefncoed-y-Cymar and Cefncoedycymer","","","","https://www.familysearch.org/search/catalog/results?query=film_number%3A104168","[]",""
"Cefn Mawr","Branch","","1854","1854","false","false","false","Historically verified branch; no dedicated local membership register identified","Explicit Cefn Mawr Branch reference; PDF page 688","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Cefn Mawr"",""collectionTitle"":""Zion's Trumpet, 1854"",""collectionBranch"":""Cefn Mawr"",""note"":""The periodical explicitly names Cefn Mawr Branch.""}]",""
"Cellan","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 65; William Evans identified as an elder in Cellan Branch","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Cellan"",""collectionTitle"":""Zion's Trumpet, 1852"",""collectionBranch"":""Cellan"",""evidenceType"":""Explicit branch reference"",""note"":""PDF page 65; William Evans identified as an elder in Cellan Branch"",""leadership"":""Officer: William Evans, elder""}]","Officer: William Evans, elder"
"Coalbrookvale","Branch","Coal Brook Vale; Coal Brock Vale; Coalbrook Vale","1856","1867","true","true","true","Verified compound local source section","CD 24; LR 174 7 compound section; 83 authoritative full-resolution images; membership registers 00080-00137","Blaina; Nantyglo; Cwm Celyn","The source records organization of Coal Brook Vale on 3 March 1856 after disorganization/reorganization involving Nantyglo, Blaenau and Cwm Celyn. Blaina appears throughout the membership registers as the branch/locality heading; the evidence is preserved without creating a duplicate branch.","","https://www.familysearch.org/search/catalog/results?query=film_number%3A104168","[{""sourceName"":""Coal Brook Vale"",""collectionTitle"":""Coal Brook Vale / Blaina records, 1856-1867"",""filename"":""LR-1175710_v1590_M_00078.jpg"",""viewerSequence"":1,""collectionBranch"":""Coalbrookvale"",""lrContext"":""CD 24 / LR 174 7 compound volume"",""note"":""Image 00078 records organization of Coal Brook Vale on 3 March 1856 from Nantyglo, Blaenau and Cwm Celyn; images 00080-00137 contain two membership sequences under Coal Brook Vale / Blaina headings.""}]",""
"Cogan","Branch","Cog","1848","1876","true","true","true","Verified local source collection","CD 31; LR 109 7; 68 authoritative full-resolution images; source heading Cog","","","","https://www.familysearch.org/search/catalog/results?query=film_number%3A104168","[]",""
"Crumlin","Branch","","1857","1862","false","true","true","FamilySearch only / locate local record","Photographed library identifier 859; four bounded register frames within a nine-frame compound packet; Wales2Utah research note; Film 104168 Item 10","","","Needs human review; absence from one source is not proof the branch or record was absent.","https://www.familysearch.org/search/catalog/results?query=film_number%3A104168","[{""sourceName"":""Crumlin"",""collectionTitle"":""Crumlin Branch Record of Members, 1857-1862"",""collectionBranch"":""Crumlin"",""note"":""PDF pages 6-9 contain the Crumlin register. Pages 1-4 are structural/catalog frames and page 5 closes the preceding Trinant section.""}]",""
"Cuffern Mountain","Branch","","1849","1876","true","true","true","Verified local source collection","CD 6; LR 198 7; 83 authoritative historical images","","","","https://www.familysearch.org/search/catalog/results?query=film_number%3A104168","[]",""
"Cwm Celyn","Branch","Cwm Celin","1851","1883","true","true","false","Local CD only / verify with FamilySearch","CD 19; LR 195 7; Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Cwm Saerbren","Branch","Cwmsaerbren","1858","1874","true","false","false","Verified compound local source section; dedicated LR 11150 images not connected","CD 34; LR 172 7 compound section; internal pages 6-24; 38 authoritative full-resolution images; LR 11150 separate reference not connected","","","","","[{""sourceName"":""Cwmsaerbren"",""collectionTitle"":""Llanelltyd, 1850-1882, LR1727"",""filename"":""LR-1175710_v1574_M_00003.jpg"",""viewerSequence"":3,""collectionBranch"":""Llanelltyd"",""lrContext"":""Enclosing Llanelltyd collection: LR 172 7"",""internalPage"":6,""separateReference"":""LR 11150"",""note"":""Internal source label dates the Cwm Saerbren record of members 1858-1874. The enclosing physical volume spans 1850-1882. LR 11150 remains a separate catalog reference; no corresponding images are currently connected.""}]",""
"Cwmbach","Branch","","1851","1852","false","false","false","Historically verified branch; no dedicated local membership register identified","Cwmbach Branch president and council activity; typed transcript page 12","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Cwmbach"",""collectionTitle"":""East Glamorgan Conference minutes, 1851-1852"",""collectionBranch"":""Cwmbach"",""note"":""The minutes explicitly identify Cwmbach Branch, its president, and branch council activity.""}]",""
"Cwmbran","Branch","","1850","1874","true","false","true","Contextual typed minutes evidence; dedicated member register not recovered","CD 62 within source group CDs 60-62; LR 70861 1; Pontypool/Abersychan General Minutes, 1857-1889; Cwmbran reports on typed PDF pages 129, 167, 169, 171-172, 176; Film 104168 Item 13 retained as legacy discovery metadata","","","Cwmbran is repeatedly attested in branch-condition, missionary, baptism/addition, and appointment reports. This is contextual minutes evidence, not a dedicated Record of Members.","https://www.familysearch.org/search/catalog/results?query=film_number%3A104168","[]",""
"Cwmcillyn","Branch","","1847","1856","false","false","true","FamilySearch only / locate local record","Film 104168 Item 12; no matching local image or PDF packet located; Film 104168 Item 12","","","Needs human review; absence from one source is not proof the branch or record was absent.","https://www.familysearch.org/search/catalog/results?query=film_number%3A104168","[{""sourceName"":""Cwmcillyn"",""collectionTitle"":""Cwmcillyn Branch source attestation"",""collectionBranch"":""Cwmcillyn"",""note"":""Checked project source CDs, recovered CD copies, Microfilm PDFs/direct-FHC component holdings, manifests, catalogs, and legacy Wales2Utah material. The source remains historically attested, but no authoritative local image collection was found.""}]",""
"Cwmtillery","Branch","Cwn Tillery","1847","1857","true","true","false","Local CD only / verify with FamilySearch","CD 8; LR 188 7; CD 8; LR 188 7; photographed library identifier 859; 69 authoritative full-resolution images; Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[{""sourceName"":""Cwmtillery"",""collectionTitle"":""Cwmtillery Branch Record of Members, 1847-1857"",""collectionBranch"":""Cwmtillery"",""note"":""The source heading supports 1847-1857 for the Record of Members. The broader inherited 1847-1862 range describes additional deaths, children and historical material and is not used as the membership-register range.""}]",""
"Cymmer","Branch","Gymmer","1850","1866","true","false","false","Local CD only / verify with FamilySearch","CD 9; LR 11152 23; CD 59; meeting transcription checklist","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Dinas","Branch","","1848","1879","true","true","false","Verified local source collection","CD 1; LR 182 7; source image/catalog prefix 1555; 66 authoritative full-resolution images; cover states 1848-1878","","","","","[{""sourceName"":""Dinas"",""collectionTitle"":""Dinas Branch Record of Members, 1848-1878"",""filename"":""1555__M_00001.jpg"",""viewerSequence"":1,""collectionBranch"":""Dinas"",""lrContext"":""Project/recovered-folder reference LR 182 7; retained source-image prefix 1555."",""note"":""The cover says 1848-1878 while the inherited project/indexing range says 1848-1879. No inspected membership entry or annotation establishes 1879. Introductory Welsh narrative ends with apparent Cymer Branch wording and is preserved as possible branch evidence.""}]",""
"Dowlais","Branch","Gwernllwyn","1851","1872","true","true","false","Local CD only / verify with FamilySearch","CD 27; LR 128 7; Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Ebbw Vale","Branch","Ebbro Vale","1847","1864","true","true","false","Verified local source collection","CD 26; LR 9846 7; 76 authoritative full-resolution images; source heading Ebbro Vale","","","","","[]",""
"Eglwysbach","Branch","Eglwys Fach; Eglwys Bach","1849","1864","false","false","false","Historically verified branch; recorded branch book not currently located","Abel Evans organized a six-member branch; Hugh Roberts served as presiding elder and kept the branch record until emigrating in 1864; Historical/source spelling used in Hugh Roberts family records; Variant spacing retained for discovery; Conwy Valley Conference held at Eglwysbach, 28 May 1854; five branches and 98 members reported for the conference","","","Organized by Abel Evans with six members after the Roberts family conversions; Hugh Roberts served as presiding elder and kept the branch record until 1864. The record's present survival or location is unknown.","https://welshsaints.byu.edu/Immigrant_View.aspx?id=806","[{""sourceName"":""Eglwysbach"",""collectionTitle"":""Hugh and Mary Owens Roberts biographical and genealogical evidence"",""collectionBranch"":""Eglwysbach"",""note"":""The family history says Abel Evans organized the Eglwysbach Branch with six members, Hugh Roberts was called as presiding elder, and Roberts kept the branch record until he emigrated in 1864, when he delivered it to John Roberts of Pensarn. The present location or survival of that branch record is not established.""}]",""
"Ffestiniog","Branch","Festiniog","1848","1856","false","true","false","Research note only","Ffestiniog membership record book integrated into local archive; surviving title uses Festiniog; 94 unique viewer images; Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[{""sourceName"":""Festiniog"",""collectionTitle"":""FESTINIOG BRANCH (Wales), WELSH MISSION, Historical Record and Record of Members, 1848, etc."",""collectionBranch"":""Ffestiniog"",""note"":""The membership-book title page directly supports the 1848 start date with the wording '1848, etc.' The 1856 endpoint is the branch closing/end date documented in the project's historical context; 1856 is not printed on that title page.""}]",""
"Fishguard","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 974; Fishguard appears in a branch-organized contribution list","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Fishguard"",""collectionTitle"":""Zion's Trumpet, 1856-1857"",""collectionBranch"":""Fishguard"",""evidenceType"":""Branch contribution/account list"",""note"":""PDF page 974; Fishguard appears in a branch-organized contribution list""}]",""
"Fleur-de-Lis","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 197; William Howells appointed to preside over Fleur-de-Lis Branch","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Fleur-de-Lis"",""collectionTitle"":""Zion's Trumpet, 1850"",""collectionBranch"":""Fleur-de-Lis"",""evidenceType"":""Branch leadership/officer appointment"",""note"":""PDF page 197; William Howells appointed to preside over Fleur-de-Lis Branch"",""leadership"":""Branch president: William Howells""}]","Branch president: William Howells"
"Garndiffaith","Branch","Garnddiffaith","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 197; source spelling Garnddiffaith, branch presented to the Herefordshire District; Source spelling retained as an alias of Garndiffaith","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Garndiffaith"",""collectionTitle"":""Zion's Trumpet, 1850"",""collectionBranch"":""Garndiffaith"",""evidenceType"":""Conference organization/branch list"",""note"":""PDF page 197; source spelling Garnddiffaith, branch presented to the Herefordshire District""}]",""
"Gellifaelog","Branch","","1851","1852","false","false","false","Historically verified branch; no dedicated local membership register identified","Gellifaelog Branch and branch officer ordinations; typed pages 60 and 76","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Gellifaelog"",""collectionTitle"":""East Glamorgan Conference minutes, 1851-1852"",""collectionBranch"":""Gellifaelog"",""note"":""Conference reporting and officer ordinations explicitly identify Gellifaelog Branch.""}]",""
"Georgetown","Branch","","","","false","true","false","Research note only","Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Gilwern","Branch","","1849","1858","true","true","false","Local CD only / verify with FamilySearch","CD 7; LR 13987 7; Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Harlech","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 299; Harlech listed among represented Merionethshire branches","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Harlech"",""collectionTitle"":""Zion's Trumpet, 1849"",""collectionBranch"":""Harlech"",""evidenceType"":""Conference organization/branch list"",""note"":""PDF page 299; Harlech listed among represented Merionethshire branches""}]",""
"Haverfordwest","Branch","","1847","1860","true","true","false","Verified local source collection","CD 23 / CR 11343 11 V.1; CD 58 / CR 11343 11 V.2; 272 authoritative historical images; membership registers 1847-1853 and 1857-1860","","","","","[{""sourceName"":""Haverfordwest"",""collectionTitle"":""Haverfordwest Branch volumes 1 and 2, 1847-1860"",""filename"":""LR-1134321_v1_M_00001.jpg"",""viewerSequence"":1,""collectionBranch"":""Haverfordwest"",""lrContext"":""Photographed identifiers CR 11343 11 V.1 and CR 11343 11 V.2; project folder/filename forms LR1134321 and LR1134311 are retained separately."",""note"":""Volume 1 contains member records 1847-1853 and historical material. Volume 2 contains historical record 1852-1854 and a separate member register 1857-1860. The exact catalog relationship among CR/LR forms is not normalized beyond the photographed evidence.""}]",""
"Hirwaun","Branch","Hirwaen","1846","1848","false","false","false","Historically verified branch; no dedicated local membership register identified","Hirwaun Branch is identified in 1846 and in later priesthood and baptism statistics; PDF page 498; Variant retained for discovery","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Hirwaun"",""collectionTitle"":""Prophet of the Jubilee"",""collectionBranch"":""Hirwaun"",""note"":""The publication explicitly identifies Hirwaun Branch and preserves branch-level statistical evidence.""}]",""
"Letterston","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 212; North Pembroke conference report held at Letterston with branch representation","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Letterston"",""collectionTitle"":""Zion's Trumpet, 1855"",""collectionBranch"":""Letterston"",""evidenceType"":""Explicit branch reference"",""note"":""PDF page 212; North Pembroke conference report held at Letterston with branch representation""}]",""
"Llanbrynmair","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 299; Llanbrynmair listed among represented Merionethshire branches","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Llanbrynmair"",""collectionTitle"":""Zion's Trumpet, 1849"",""collectionBranch"":""Llanbrynmair"",""evidenceType"":""Conference organization/branch list"",""note"":""PDF page 299; Llanbrynmair listed among represented Merionethshire branches""}]",""
"Llanddoged","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 417 (1850) and page 705 (1854); branch established and later presiding appointment recorded","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Llanddoged"",""collectionTitle"":""Zion's Trumpet, 1850 and 1854"",""collectionBranch"":""Llanddoged"",""evidenceType"":""Branch leadership/officer appointment"",""note"":""PDF page 417 (1850) and page 705 (1854); branch established and later presiding appointment recorded"",""leadership"":""Branch presidents: John Davies (1850); John Ellis (1854)""}]","Branch presidents: John Davies (1850); John Ellis (1854)"
"Llandebie","Branch","","1849","1866","true","true","false","Verified local source collection","CD 22; project LR 113 7; photographed library identifier 870 preserved separately; 45 authoritative full-resolution images; source dates 1849-1866","","","","","[{""sourceName"":""Llandebie"",""collectionTitle"":""Llandebie Branch Record of Members, 1849-1866"",""filename"":""LR-113-7_00002.jpg"",""viewerSequence"":2,""collectionBranch"":""Llandebie"",""lrContext"":""Project reference LR 113 7; photographed source label separately shows library number 870."",""note"":""The photographed label states Record of Members 1849-1866. The volume contains two independently numbered membership registers, a separate renewal/reformation sequence, opening Welsh historical narrative, and an additional-remarks page.""}]",""
"Llandudno","Branch","","","","false","false","false","Historically verified branch; no dedicated local membership register identified","PDF page 417; branch established at Llandudno","","","Explicit historical branch evidence is preserved in conference minutes, journals, Welsh Saints material, or Ronald D. Dennis publications. No dedicated Record of Members is currently identified.","","[{""sourceName"":""Llandudno"",""collectionTitle"":""Zion's Trumpet, 1850"",""collectionBranch"":""Llandudno"",""evidenceType"":""Branch leadership/officer appointment"",""note"":""PDF page 417; branch established at Llandudno"",""leadership"":""Branch president: Isaac Morris""}]","Branch president: Isaac Morris"
"Llanelli","Branch","Llanelly","1847","1868","true","true","false","Local CD only / verify with FamilySearch","CD 11; LR 11757 7; CD 11; source label 1577; recovered folder LR 11757 7; filename prefix LR 12451 7 (unresolved conflict); Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[{""sourceName"":""Llanelli"",""collectionTitle"":""Llanelly Branch Record of Members, 1847-1868"",""filename"":""LR 12451 7_00001.jpg"",""viewerSequence"":1,""collectionBranch"":""Llanelli"",""lrContext"":""Internal source labels say 1577; recovered CD folder says LR 11757 7; all 138 retained filenames say LR 12451 7."",""note"":""The 138-image run is one continuous physical volume and is not checksum-duplicated from the Rhymney collection. The filename/catalog identifier conflict remains unresolved.""}]",""
"Llanelltyd","Branch","Llanellyd; Llanelltud","1850","1857","true","true","true","Verified compound local source section","CD 34; LR 172 7 compound section; internal pages 1-5; 10 authoritative full-resolution images; section dated 1850-1857","","","","https://www.familysearch.org/search/catalog/results?query=film_number%3A104168","[{""sourceName"":""Llanellyd"",""collectionTitle"":""Llanelltyd, 1850-1882, LR1727"",""filename"":""LR-1175710_v1574_M_00003.jpg"",""viewerSequence"":3,""collectionBranch"":""Llanelltyd"",""lrContext"":""Enclosing Llanelltyd collection: LR 172 7"",""internalPage"":1,""note"":""Historical spelling written on the volume index.""},{""sourceName"":""Llanelltyd"",""collectionTitle"":""Llanelltyd, 1850-1882, LR1727"",""filename"":""LR-1175710_v1574_M_00026.jpg"",""viewerSequence"":1,""collectionBranch"":""Llanelltyd"",""lrContext"":""Enclosing Llanelltyd collection: LR 172 7"",""internalPage"":1,""note"":""The source label dates the Llanelltyd Record of Members 1850-1857. The virtual collection stops at image 00035; image 00036 begins Cwm Saerbren.""}]",""
"Llanelly 2","Branch","","","","false","true","false","Research note only","Wales2Utah research note","","","Needs human review; absence from one source is not proof the branch or record was absent.","","[]",""
"Llanfabon","Branch","","1847","1869","true","true","false","Verified local source collection","CD 15; project LR1687; historical/library identifier 871 preserved separately; 60 authoritative full-resolution images","","","","","[{""sourceName"":""Llanfabon"",""collectionTitle"":""Llanfabon Branch Record of Members, 1847-1869"",""filename"":""871__M_00002.jpg"",""viewerSequence"":2,""collectionBranch"":""Llanfabon"",""lrContext"":""Project reference LR1687; photographed source label separately shows 871."",""note"":""The relationship between historical/library identifier 871 and project LR1687 is not established. The volume contains an original register, a separate Reformation register, and Welsh historical narrative on written pages 19-28.""}]",""
